Cause,Code (Data6),Sex,Year,DALY,Mental_health_legislation,Mental_health_policy,GDP_per_Capita,Mental_health_professional,WHO_Support per 100k,Health expenditure per capita.Value
Anxiety disorders,BGR,Female,2008,18001.66402,No data,No data,7271.303389,No data,0,456
Attention-deficit_hyperactivity disorder,BGR,Female,2008,204.1623677,No data,No data,7271.303389,No data,0,456
Bipolar disorder,BGR,Female,2008,5743.98055,No data,No data,7271.303389,No data,0,456
Depressive disorders,BGR,Female,2008,25649.94375,No data,No data,7271.303389,No data,0,456
Eating disorders,BGR,Female,2008,1784.28827,No data,No data,7271.303389,No data,0,456
Idiopathic developmental intellectual disability,BGR,Female,2008,681.7413451,No data,No data,7271.303389,No data,0,456
Schizophrenia,BGR,Female,2008,5897.231676,No data,No data,7271.303389,No data,0,456
Depressive disorders,AFG,Female,2008,68640.57139,No data,No data,382.5338038,No data,0,39.96989822
Anxiety disorders,AFG,Female,2008,54712.37929,No data,No data,382.5338038,No data,0,39.96989822
Eating disorders,AFG,Female,2008,3035.920697,No data,No data,382.5338038,No data,0,39.96989822
Idiopathic developmental intellectual disability,AFG,Female,2008,22697.86928,No data,No data,382.5338038,No data,0,39.96989822
Attention-deficit_hyperactivity disorder,AFG,Female,2008,1112.273098,No data,No data,382.5338038,No data,0,39.96989822
Bipolar disorder,AFG,Female,2008,13229.69412,No data,No data,382.5338038,No data,0,39.96989822
Schizophrenia,AFG,Female,2008,7507.779431,No data,No data,382.5338038,No data,0,39.96989822
Anxiety disorders,BFA,Female,2008,23090.61351,No data,No data,621.8902718,No data,0,28.90426254
Attention-deficit_hyperactivity disorder,BFA,Female,2008,947.5267819,No data,No data,621.8902718,No data,0,28.90426254
Bipolar disorder,BFA,Female,2008,8691.752105,No data,No data,621.8902718,No data,0,28.90426254
Depressive disorders,BFA,Female,2008,40361.70016,No data,No data,621.8902718,No data,0,28.90426254
Eating disorders,BFA,Female,2008,2255.779284,No data,No data,621.8902718,No data,0,28.90426254
Idiopathic developmental intellectual disability,BFA,Female,2008,3268.862532,No data,No data,621.8902718,No data,0,28.90426254
Schizophrenia,BFA,Female,2008,5983.98563,No data,No data,621.8902718,No data,0,28.90426254
Anxiety disorders,AGO,Female,2008,32783.99224,No data,No data,4081.717497,No data,0,135.6315308
Attention-deficit_hyperactivity disorder,AGO,Female,2008,1141.688392,No data,No data,4081.717497,No data,0,135.6315308
Bipolar disorder,AGO,Female,2008,10773.83213,No data,No data,4081.717497,No data,0,135.6315308
Depressive disorders,AGO,Female,2008,62037.37174,No data,No data,4081.717497,No data,0,135.6315308
Eating disorders,AGO,Female,2008,4025.617931,No data,No data,4081.717497,No data,0,135.6315308
Idiopathic developmental intellectual disability,AGO,Female,2008,1769.981484,No data,No data,4081.717497,No data,0,135.6315308
Schizophrenia,AGO,Female,2008,7500.543472,No data,No data,4081.717497,No data,0,135.6315308
Anxiety disorders,AGO,Female,2009,34143.62739,No data,No data,3123.698898,No data,0,120.0315094
Attention-deficit_hyperactivity disorder,AGO,Female,2009,1187.158349,No data,No data,3123.698898,No data,0,120.0315094
Bipolar disorder,AGO,Female,2009,11214.14426,No data,No data,3123.698898,No data,0,120.0315094
Depressive disorders,AGO,Female,2009,64407.40318,No data,No data,3123.698898,No data,0,120.0315094
