Code (Data),Stand-alone mental health legislation,Stand-alone policy or plan for mental health,Year (Data),Year (Sizing),Comet Size
AFG,Yes,Yes,1/1/2017,2017-01-01,3
AGO,No,No,1/1/2017,2017-01-01,3
ALB,Yes,Yes,1/1/2017,2017-01-01,3
AND,No data,No data,1/1/2017,2017-01-01,3
ARE,Yes,Yes,1/1/2017,2017-01-01,3
ARG,Yes,Yes,1/1/2017,2017-01-01,3
ARM,Yes,Yes,1/1/2017,2017-01-01,3
ASM,No data,No data,1/1/2017,2017-01-01,3
ATG,Yes,Yes,1/1/2017,2017-01-01,3
AUS,Yes,Yes,1/1/2017,2017-01-01,3
AUT,No,No,1/1/2017,2017-01-01,3
AZE,Yes,Yes,1/1/2017,2017-01-01,3
BDI,No,Yes,1/1/2017,2017-01-01,3
BEL,Yes,Yes,1/1/2017,2017-01-01,3
BEN,No,Yes,1/1/2017,2017-01-01,3
BFA,No,Yes,1/1/2017,2017-01-01,3
BGD,No,No,1/1/2017,2017-01-01,3
BGR,No,No,1/1/2017,2017-01-01,3
BHR,No,Yes,1/1/2017,2017-01-01,3
BHS,Yes,Yes,1/1/2017,2017-01-01,3
BIH,Yes,Yes,1/1/2017,2017-01-01,3
BLR,Yes,Yes,1/1/2017,2017-01-01,3
BLZ,No,Yes,1/1/2017,2017-01-01,3
BMU,No data,No data,1/1/2017,2017-01-01,3
BOL,No,Yes,1/1/2017,2017-01-01,3
BRA,Yes,Yes,1/1/2017,2017-01-01,3
BRB,Yes,Yes,1/1/2017,2017-01-01,3
BRN,Yes,No,1/1/2017,2017-01-01,3
BTN,No,Yes,1/1/2017,2017-01-01,3
BWA,Yes,Yes,1/1/2017,2017-01-01,3
CAF,No,Yes,1/1/2017,2017-01-01,3
CAN,Yes,Yes,1/1/2017,2017-01-01,3
CHE,No,Yes,1/1/2017,2017-01-01,3
CHL,No,Yes,1/1/2017,2017-01-01,3
CHN,Yes,Yes,1/1/2017,2017-01-01,3
CIV,No,Yes,1/1/2017,2017-01-01,3
CMR,No,Yes,1/1/2017,2017-01-01,3
COD,Yes,No data,1/1/2017,2017-01-01,3
COG,No,Yes,1/1/2017,2017-01-01,3
