Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
35 to 39,Population,PRK,Female,1/1/2011,1M,977179.634009057,
80 plus,Population,MMR,Male,1/1/2008,0M,,169697.10932727
10 to 14,Population,LUX,Male,1/1/2012,0M,,15906.960442423
65 to 69,Population,DNK,Female,1/1/2016,0M,175750.065070509,
35 to 39,Population,MNP,Female,1/1/2009,0M,1818.445008828,
15 to 19,Population,ISR,Female,1/1/2015,0M,329331.339863627,
70 to 74,Population,BMU,Female,1/1/2017,0M,1598.779955160,
55 to 59,Population,TON,Female,1/1/2014,0M,1705.520633839,
30 to 34,Population,ARM,Male,1/1/2010,0M,,107655.254767937
55 to 59,Population,UGA,Male,1/1/2016,0M,,288426.253159564
75 to 79,Population,IRQ,Male,1/1/2011,0M,,96979.377135991
5 to 9,Population,GNQ,Female,1/1/2014,0M,78767.223720151,
45 to 49,Population,SYR,Female,1/1/2013,0M,454782.825035021,
45 to 49,Population,JPN,Female,1/1/2014,4M,4359424.28171092,
75 to 79,Population,MNG,Female,1/1/2009,0M,12289.650312745,
10 to 14,Population,BHS,Male,1/1/2012,0M,,15927.200589558
80 plus,Population,TLS,Female,1/1/2010,0M,2794.666220142,
40 to 44,Population,GEO,Male,1/1/2017,0M,,443084.342476156
50 to 54,Population,AND,Male,1/1/2016,0M,,3564.686668184
25 to 29,Population,AFG,Female,1/1/2017,1M,1062302.09203405,
60 to 64,Population,MRT,Male,1/1/2011,0M,,28997.440031332
80 plus,Population,GNQ,Female,1/1/2017,0M,2678.970915406,
30 to 34,Population,KGZ,Female,1/1/2012,0M,203645.94545675,
50 to 54,Population,MDG,Female,1/1/2012,0M,311140.51110587,
5 to 9,Population,LTU,Female,1/1/2013,0M,66574.938832397,
55 to 59,Population,CAN,Male,1/1/2011,1M,,1153130.30092072
55 to 59,Population,JOR,Male,1/1/2012,0M,,95352.607159721
75 to 79,Population,ROU,Male,1/1/2012,0M,,288934.071072843
5 to 9,Population,JPN,Female,1/1/2017,3M,2639660.939477,
50 to 54,Population,WSM,Female,1/1/2014,0M,3871.133249488,
60 to 64,Population,CAN,Female,1/1/2008,1M,919980.532549106,
75 to 79,Population,BRB,Female,1/1/2014,0M,4196.021833271,
55 to 59,Population,MRT,Female,1/1/2008,0M,33220.518978738,
65 to 69,Population,CHE,Male,1/1/2017,0M,,209608.210109067
Under 5,Population,CHE,Male,1/1/2010,0M,,201427.484735152
80 plus,Population,QAT,Male,1/1/2017,0M,,2274.269754492
45 to 49,Population,MMR,Male,1/1/2008,1M,,1264025.32221568
Under 5,Population,MWI,Female,1/1/2008,1M,1265698.0237845,
25 to 29,Population,POL,Female,1/1/2016,1M,1370787.00202141,
10 to 14,Population,GRL,Female,1/1/2010,0M,2236.928963533,
35 to 39,Population,JAM,Male,1/1/2010,0M,,90552.564709982
50 to 54,Population,RUS,Female,1/1/2014,6M,5951155.26713238,
45 to 49,Population,QAT,Male,1/1/2017,0M,,174722.732706795
10 to 14,Population,BHR,Male,1/1/2015,0M,,44839.852721118
10 to 14,Population,MOZ,Female,1/1/2015,2M,1991571.44443948,
60 to 64,Population,MAR,Male,1/1/2014,1M,,555955.052155965
Under 5,Population,NLD,Male,1/1/2016,0M,,449063.83570106
80 plus,Population,SYR,Female,1/1/2013,0M,69799.496414954,
35 to 39,Population,FRA,Male,1/1/2017,2M,,2027447.86336666
50 to 54,Population,SGP,Female,1/1/2014,0M,173314.489417006,
75 to 79,Population,VCT,Male,1/1/2009,0M,,994.784271187
Under 5,Population,TTO,Female,1/1/2008,0M,45545.419633399,
Under 5,Population,BOL,Male,1/1/2013,1M,,682518.075633984
35 to 39,Population,SVK,Male,1/1/2015,0M,,236168.193612921
70 to 74,Population,MMR,Female,1/1/2011,0M,409656.237366493,
45 to 49,Population,TLS,Female,1/1/2010,0M,18953.420702751,
50 to 54,Population,MNG,Female,1/1/2013,0M,79937.421179101,
15 to 19,Population,ZMB,Female,1/1/2010,1M,798213.171776542,
Under 5,Population,MYS,Male,1/1/2009,1M,,1276945.28793983
Under 5,Population,DJI,Female,1/1/2008,0M,57806.957022412,
50 to 54,Population,KOR,Female,1/1/2016,2M,2090420.68062914,
60 to 64,Population,SYR,Female,1/1/2009,0M,164237.461483952,
65 to 69,Population,ETH,Male,1/1/2016,1M,,538396.969663732
10 to 14,Population,LBR,Female,1/1/2010,0M,244187.108428192,
5 to 9,Population,POL,Female,1/1/2010,1M,879766.270874224,
80 plus,Population,PRI,Female,1/1/2008,0M,77442.628489744,
10 to 14,Population,DZA,Male,1/1/2014,2M,,1517269.50684834
70 to 74,Population,CHN,Female,1/1/2012,17M,17377781.4310599,
70 to 74,Population,PRI,Male,1/1/2011,0M,,63710.335713190
35 to 39,Population,ISL,Male,1/1/2016,0M,,11437.484357760
5 to 9,Population,QAT,Male,1/1/2014,0M,,55020.525571604
30 to 34,Population,MUS,Female,1/1/2015,0M,46627.601654034,
60 to 64,Population,GTM,Male,1/1/2017,0M,,175505.388159989
45 to 49,Population,PRI,Female,1/1/2008,0M,133531.778660999,
50 to 54,Population,VCT,Male,1/1/2013,0M,,3470.436548650
60 to 64,Population,ZWE,Female,1/1/2012,0M,132304.239558168,
5 to 9,Population,ECU,Female,1/1/2012,1M,756688.418475722,
10 to 14,Population,KIR,Female,1/1/2010,0M,5793.193142619,
50 to 54,Population,GUM,Female,1/1/2009,0M,4428.921788227,
30 to 34,Population,SAU,Male,1/1/2010,2M,,1823276.09510399
55 to 59,Population,IDN,Male,1/1/2010,4M,,4428643.19363853
55 to 59,Population,SDN,Female,1/1/2014,0M,342758.837868755,
15 to 19,Population,GNB,Female,1/1/2014,0M,94218.496283296,
45 to 49,Population,PSE,Female,1/1/2010,0M,75484.211047089,
5 to 9,Population,CPV,Female,1/1/2013,0M,26130.612008605,
5 to 9,Population,MDV,Male,1/1/2012,0M,,15749.643175158
60 to 64,Population,NAM,Female,1/1/2017,0M,27835.813051377,
40 to 44,Population,VEN,Female,1/1/2011,1M,903796.315706039,
60 to 64,Population,PAK,Male,1/1/2017,2M,,2190118.62055472
10 to 14,Population,SLV,Female,1/1/2012,0M,330006.937005322,
Under 5,Population,USA,Female,1/1/2012,10M,9820958.40708886,
75 to 79,Population,GUM,Female,1/1/2013,0M,1264.878288927,
Under 5,Population,BEL,Male,1/1/2012,0M,,330951.849950187
70 to 74,Population,TUR,Male,1/1/2014,1M,,701762.805423477
80 plus,Population,JPN,Female,1/1/2014,6M,6243973.19919666,
60 to 64,Population,DEU,Male,1/1/2016,3M,,2511532.26395777
50 to 54,Population,YEM,Female,1/1/2014,0M,344931.218398958,
40 to 44,Population,GHA,Female,1/1/2016,1M,778784.940935901,
20 to 24,Population,PAN,Female,1/1/2010,0M,143618.386895966,
15 to 19,Population,MNE,Male,1/1/2013,0M,,22678.576394574
55 to 59,Population,ATG,Male,1/1/2012,0M,,1876.945010083
80 plus,Population,PSE,Female,1/1/2010,0M,13141.138119187,
35 to 39,Population,BDI,Male,1/1/2008,0M,,189726.602170772
75 to 79,Population,ERI,Female,1/1/2014,0M,12720.136509771,
20 to 24,Population,GAB,Female,1/1/2013,0M,80205.901999311,
40 to 44,Population,IRQ,Female,1/1/2008,1M,729560.150078013,
15 to 19,Population,CZE,Female,1/1/2012,0M,249164.470531585,
35 to 39,Population,BRN,Female,1/1/2015,0M,17362.210942514,
80 plus,Population,GRC,Female,1/1/2015,0M,394167.734908357,
75 to 79,Population,VEN,Male,1/1/2008,0M,,118488.708576576
55 to 59,Population,DMA,Female,1/1/2017,0M,1774.530940189,
10 to 14,Population,MNP,Female,1/1/2013,0M,2522.859993133,
60 to 64,Population,BFA,Female,1/1/2015,0M,163827.177644869,
60 to 64,Population,BRA,Female,1/1/2010,4M,3505945.51942218,
35 to 39,Population,NPL,Female,1/1/2016,1M,1011253.21866488,
45 to 49,Population,GNQ,Female,1/1/2017,0M,22264.544484418,
45 to 49,Population,GRC,Female,1/1/2015,0M,405930.737232994,
30 to 34,Population,MNE,Male,1/1/2009,0M,,22208.378320564
15 to 19,Population,SLB,Male,1/1/2015,0M,,32164.103031146
35 to 39,Population,CHL,Male,1/1/2012,1M,,610191.305329421
40 to 44,Population,CYP,Male,1/1/2010,0M,,37368.635567161
60 to 64,Population,ASM,Female,1/1/2013,0M,815.792213333,
65 to 69,Population,LSO,Female,1/1/2015,0M,21115.789879891,
35 to 39,Population,BMU,Female,1/1/2010,0M,2542.426421991,
45 to 49,Population,MAR,Male,1/1/2016,1M,,980360.463329552
75 to 79,Population,YEM,Female,1/1/2016,0M,73836.994095517,
Under 5,Population,PAN,Female,1/1/2010,0M,163973.709529499,
75 to 79,Population,RUS,Female,1/1/2016,3M,3310041.82461916,
75 to 79,Population,KOR,Female,1/1/2014,1M,802059.935727493,
Under 5,Population,GAB,Female,1/1/2013,0M,99785.956916089,
